Source: Forbes Billionaires List Data,,,,,,,,
Name and Rank,Wealth (Millions),Surname,World Rank,Age,Wealth Source,Industry,Gender,State
Orlando Bravo,"$3,000",Bravo,680,49,private equity,Finance & Investments,M,California
Bennett Dorrance,"$3,000",Dorrance,680,74,Campbell Soup,Food & Beverage,M,Arizona
Gwendolyn Sontheim Meyer,"$3,000",Meyer,680,58,Cargill,Food & Beverage,F,California
Howard Schultz,"$3,000",Schultz,680,66,Starbucks,Food & Beverage,M,Washington
"William Wrigley, Jr.","$3,000",Wrigley,680,56,chewing gum,Food & Beverage,M,Florida
John Brown,"$3,000",Brown,680,85,medical equipment,Healthcare,M,Georgia
Barry Diller,"$3,000",Diller,680,78,online media,Media & Entertainment,M,New York
Thomas Secunda,"$3,000",Secunda,680,65,Bloomberg LP,Media & Entertainment,M,New York
James Irsay,"$3,000",Irsay,680,60,Indianapolis Colts,Sports,M,Indiana
Joseph Liemandt,"$3,000",Liemandt,680,51,software,Technology,M,Texas
Thai Lee,"$3,000",Lee,680,61,IT provider,Technology,F,Texas
Mark Shoen,"$2,900",Shoen,712,69,U-Haul,Automotive,M,Arizona
Michael Rubin,"$2,900",Rubin,712,47,online retail,Fashion & Retail,M,Pennsylvania
"Bernard Saul, II.","$2,900",Saul,712,87,"banking, real estate",Finance & Investments,M,Maryland
Daniel D'Aniello,"$2,900",D'Aniello,712,73,private equity,Finance & Investments,M,Virginia
Patrick Ryan,"$2,900",Ryan,712,82,insurance,Finance & Investments,M,Illinois
Steven Klinsky,"$2,900",Klinsky,712,63,investments,Finance & Investments,M,New York
Glen Taylor,"$2,900",Taylor,712,78,printing,Service,M,Minnesota
Scott Cook,"$2,900",Cook,712,67,software,Technology,M,California
James Jannard,"$2,800",Jannard,743,70,sunglasses,Fashion & Retail,M,Washington
Daniel Loeb,"$2,800",Loeb,743,58,hedge funds,Finance & Investments,M,New York
David Rubenstein,"$2,800",Rubenstein,743,70,private equity,Finance & Investments,M,Maryland
Joe Mansueto,"$2,800",Mansueto,743,63,investment research,Finance & Investments,M,Illinois
"Stephen Mandel, Jr.","$2,800",Mandel,743,64,hedge funds,Finance & Investments,M,Connecticut
Richard LeFrak,"$2,800",LeFrak,743,74,real estate,Real Estate,M,New York
Jay Chaudhry,"$2,800",Chaudhry,743,60,security software,Technology,M,California
"Drayton McLane, Jr.","$2,700",McLane,764,83,"Walmart, logistics",Fashion & Retail,M,Texas
Jimmy Haslam,"$2,700",Haslam,764,66,"gas stations, retail",Fashion & Retail,M,Tennessee
Antony Ressler,"$2,700",Ressler,764,58,finance,Finance & Investments,M,California
Mark Walter,"$2,700",Walter,764,59,finance,Finance & Investments,M,Illinois
Peter Kellogg,"$2,700",Kellogg,764,77,investments,Finance & Investments,M,New Jersey
"William Conway, Jr.","$2,700",Conway,764,70,private equity,Finance & Investments,M,Virginia
"Austen Cargill, II.","$2,700",Cargill,764,69,Cargill,Food & Beverage,M,Montana
Don Vultaggio,"$2,700",Vultaggio,764,68,beverages,Food & Beverage,M,New York
"James Cargill, II.","$2,700",Cargill,764,71,Cargill,Food & Beverage,M,Wisconsin
Marianne Liebmann,"$2,700",Liebmann,764,66,Cargill,Food & Beverage,F,Montana
Jon Stryker,"$2,700",Stryker,764,61,medical equipment,Healthcare,M,New York
Fred Smith,"$2,700",Smith,764,75,FedEx,Logistics,M,Tennessee
Haim Saban,"$2,700",Saban,764,75,"TV network, investments",Media & Entertainment,M,California
Jeffrey Lurie,"$2,700",Lurie,764,68,Philadelphia Eagles,Sports,M,Pennsylvania
Bob Parsons,"$2,700",Parsons,764,69,web hosting,Technology,M,Arizona
Eric Lefkofsky,"$2,700",Lefkofsky,764,50,Groupon,Technology,M,Illinois
"Henry Nicholas, III.","$2,700",Nicholas,764,60,semiconductors,Technology,M,California
Sean Parker,"$2,700",Parker,764,40,Facebook,Technology,M,California
Chris Larsen,"$2,600",Larsen,804,59,cryptocurrency,Finance & Investments,M,California
Clifford Asness,"$2,600",Asness,804,53,money management,Finance & Investments,M,Connecticut
Jim Coulter,"$2,600",Coulter,804,60,private equity,Finance & Investments,M,California
John Pritzker,"$2,600",Pritzker,804,66,"hotels, investments",Finance & Investments,M,California
Noam Gottesman,"$2,600",Gottesman,804,58,hedge funds,Finance & Investments,M,New York
William Berkley,"$2,600",Berkley,804,73,insurance,Finance & Investments,M,Florida
Sumner Redstone,"$2,600",Redstone,804,96,media,Media & Entertainment,M,California
Ty Warner,"$2,600",Warner,804,75,"real estate, plush toys",Real Estate,M,Illinois
B. Wayne Hughes,"$2,600",Hughes,804,86,self storage,Service,M,Kentucky
Jim Davis,"$2,600",Davis,804,60,staffing & recruiting,Service,M,Maryland
Dan Snyder,"$2,600",Snyder,804,55,Washington Redskins,Sports,M,Maryland
John Henry,"$2,600",Henry,804,70,sports,Sports,M,Florida
Jack Dorsey,"$2,600",Dorsey,804,43,"Twitter, Square",Technology,M,California
Travis Kalanick,"$2,600",Kalanick,804,43,Uber,Technology,M,California
Phil Ruffin,"$2,500",Ruffin,836,85,"casinos, real estate",Diversified,M,Nevada
Mark Stevens,"$2,500",Stevens,836,60,venture capital,Finance & Investments,M,California
Penny Pritzker,"$2,500",Pritzker,836,60,"hotels, investments",Finance & Investments,F,Illinois
Johnelle Hunt,"$2,500",Hunt,836,88,trucking,Logistics,F,Arkansas
Archie Aldis Emmerson,"$2,500",Emmerson,836,90,"timberland, lumber mills",Manufacturing,M,California
Oprah Winfrey,"$2,500",Winfrey,836,66,TV shows,Media & Entertainment,F,California
Herb Simon,"$2,500",Simon,836,85,real estate,Real Estate,M,Indiana
Mortimer Zuckerman,"$2,500",Zuckerman,836,82,"real estate, media",Real Estate,M,New York
Robert Rowling,"$2,500",Rowling,836,66,"hotels, investments",Service,M,Texas
Alan Trefler,"$2,500",Trefler,836,64,software,Technology,M,Massachusetts
Brian Acton,"$2,500",Acton,836,48,WhatsApp,Technology,M,California
Judy Faulkner,"$2,500",Faulkner,836,76,health IT,Technology,F,Wisconsin
Peter Gassner,"$2,500",Gassner,836,55,software,Technology,M,California
E. Joe Shoen,"$2,400",Shoen,875,70,U-Haul,Automotive,M,Arizona
"Ernest Garcia, II.","$2,400",Garcia,875,62,used cars,Automotive,M,Arizona
Norman Braman,"$2,400",Braman,875,87,"art, car dealerships",Automotive,M,Florida
